datetime,created_at,updated_at,timestamp,zone_name,carbon_intensity_avg,carbon_intensity_direct_avg,carbon_intensity_production_avg,carbon_intensity_discharge_avg,carbon_intensity_import_avg,total_production_avg,total_storage_avg,total_discharge_avg,total_import_avg,total_export_avg,total_consumption_avg,production_sources,power_origin_percent_fossil_avg,power_origin_percent_renewable_avg,power_production_percent_fossil_avg,power_production_percent_renewable_avg,power_production_nuclear_avg,power_production_geothermal_avg,power_production_biomass_avg,power_production_coal_avg,power_production_wind_avg,power_production_solar_avg,power_production_hydro_avg,power_production_gas_avg,power_production_oil_avg,power_production_unknown_avg,power_consumption_nuclear_avg,power_consumption_geothermal_avg,power_consumption_biomass_avg,power_consumption_coal_avg,power_consumption_wind_avg,power_consumption_solar_avg,power_consumption_hydro_avg,power_consumption_gas_avg,power_consumption_oil_avg,power_consumption_unknown_avg,power_consumption_battery_discharge_avg,power_consumption_hydro_discharge_avg,power_net_discharge_battery_avg,power_net_discharge_hydro_avg,power_net_import_BE_avg,carbon_intensity_exchange_BE_avg,power_net_import_FR_avg,carbon_intensity_exchange_FR_avg,power_net_import_GB-NIR_avg,carbon_intensity_exchange_GB-NIR_avg,power_net_import_GB-ORK_avg,carbon_intensity_exchange_GB-ORK_avg,power_net_import_IE_avg,carbon_intensity_exchange_IE_avg,power_net_import_NL_avg,carbon_intensity_exchange_NL_avg,power_net_import_NO-NO2_avg,carbon_intensity_exchange_NO-NO2_avg,latest_forecasted_wind_x_avg,latest_forecasted_wind_y_avg,latest_forecasted_solar_avg,latest_forecasted_temperature_avg,latest_forecasted_dewpoint_avg,latest_forecasted_precipitation_avg,latest_forecasted_price_avg,latest_forecasted_production_avg,latest_forecasted_consumption_avg,latest_forecasted_power_net_import_BE_avg,latest_forecasted_power_net_import_FR_avg,latest_forecasted_power_net_import_GB-NIR_avg,latest_forecasted_power_net_import_GB-ORK_avg,latest_forecasted_power_net_import_IE_avg,latest_forecasted_power_net_import_NL_avg,latest_forecasted_power_net_import_NO-NO2_avg,latest_forecasted_production_solar_avg,latest_forecasted_production_wind_avg
2021-06-01T00:00:00+00:00,2022-02-04T16:49:58.284222+00:00,2022-05-24T21:16:04.920097+00:00,1622505600,GB,172.95,112.93,189.34,,51.63,19047,0,0,2572.42,0,21619.42,bmreports.com,29.96,36.42,33.15,38.18,5459,,1538,0,5641.5,5.5,88,6180,0,135,7267.5,0,1596.17,1.75,5886.02,5.5,369.68,6303.89,5.11,183.7,0,0.1,,0,699,120.03,1855,26.22,,,16.42,13,0,,0,,2,25.48,-3.22,3.61,45.2,284.06,281.97,0.01,,20089,20551,694,1868,,,0,0,,0,7925
2021-06-01T01:00:00+00:00,2022-02-04T16:49:58.778849+00:00,2022-05-24T21:16:04.920097+00:00,1622509200,GB,169.89,110.5,186.02,,52.03,18790,0,0,2572.58,0,21362.58,bmreports.com,29.31,36.61,32.44,38.51,5458.5,,1527,0,5615,5,89,5963.5,0,132,7280.42,0,1585.39,1.8,5853.42,5,359.98,6092.46,5.19,178.82,0,0.1,,0,700,120.73,1854,26.46,,,16.58,13,0,,0,,2,25.5,-3.19,3.72,0,283.96,281.9,0,,19900,20264,695,1867,,,0,0,,0,7773
2021-06-01T02:00:00+00:00,2022-02-04T16:49:58.102721+00:00,2022-05-24T21:19:39.711021+00:00,1622512800,GB,168.88,109.21,185.22,,51.8,18443.5,0,0,2573.42,90,20926.92,bmreports.com,28.97,36.38,32.12,38.31,5454,,1556,0,5421,0,89,5787.5,0,136,7251.37,0,1607.69,1.81,5631.47,0,360.54,5890.5,5.2,178.25,0,0.1,,0,700,119.78,1858,26.49,,,13.42,13,-90,169.74,0,,2,25.39,-3.05,3.75,0,283.9,281.9,0,,19626,20004,695,1866,,,-91,0,,0,7620
2021-06-01T03:00:00+00:00,2022-02-04T16:49:58.778849+00:00,2022-05-24T21:20:26.963170+00:00,1622516400,GB,169.97,109.89,186.39,,53.46,18249,0,0,2572.92,13,20808.92,bmreports.com,29.15,35.92,32.3,37.82,5453,,1560,0,5251,1,89,5758,0,137,7268.47,0,1616.72,1.82,5475.89,1.51,368.43,5890.34,5.16,180.5,0,0.08,,0,699,126.96,1859,26.13,,,12.92,13,-13,171.46,0,,2,25.46,-2.89,3.78,0.01,283.82,281.8,0,,19285,19785,694,1869,,,-14,0,,0,7314
2021-06-01T04:00:00+00:00,2022-02-04T16:55:11.373028+00:00,2022-05-24T21:19:44.429092+00:00,1622520000,GB,174.97,113.36,192.68,,54.69,17911.5,0,0,2639.86,59,20492.36,bmreports.com,30.04,34.49,33.43,36.1,5456.5,,1571,0,4627.5,179,89,5851,0,137.5,7268.3,0,1622.81,1.87,4840.78,196.68,391.29,5978.18,5.26,187.1,0,0.08,,0,713.75,122.3,1907,29.79,,,17.11,13,-59,170.3,0,,2,25.65,-2.8,3.71,1.3,283.8,281.93,0,,19571,20649,708,1921,,,-54,0,,215,6667
2021-06-01T05:00:00+00:00,2022-02-04T16:49:58.101622+00:00,2022-05-24T21:19:39.711021+00:00,1622523600,GB,216.8,145.34,234.02,,60.9,21108,0,0,2329.3,47,23390.3,bmreports.com,38.75,31.23,42.15,31.97,5463,,1722.5,0,3909.5,937.5,179.5,8755.5,0,140.5,7021.3,0,1769.47,1.55,4078.97,993.17,443.95,8880.24,4.35,192.6,0,4.7,,0,707.5,128.49,1604,31.6,,,15.8,13,-47,225.73,0,,2,25.38,-2.71,3.65,10.84,284.05,282.14,0.01,,22094,25389,702,1623,,,-56,0,,986,6072
2021-06-01T06:00:00+00:00,2022-02-04T16:49:58.284222+00:00,2022-05-24T21:20:26.963170+00:00,1622527200,GB,242.56,163.1,260.74,,64.61,25557,0,0,2610.14,321,27846.14,bmreports.com,43.6,30.9,47.21,31.39,5470,,2241.5,0,3363.5,2145,272,11919,0,146,7098.27,0,2271.91,1.58,3457.26,2282.85,553.15,11943.07,4.5,206.42,0,27.14,,0,846.5,134.17,1748,31.38,,,13.64,13,-321,243.14,0,,2,25.3,-2.54,3.56,32.76,284.61,282.43,0.01,,28695,30769,839,1768,,,-321,0,,2127,5487
2021-06-01T07:00:00+00:00,2022-02-04T16:55:11.373028+00:00,2022-05-24T21:19:44.429092+00:00,1622530800,GB,246.98,165.75,265.93,252.57,68.64,28298.5,0,430.5,3021,524,31226,bmreports.com,43.53,33.23,47.19,33.77,5469,,2452.5,0,2865,3620,335.5,13315.5,0,241,7256.69,0,2477.48,4.61,2928.74,3878.82,614.38,13291.57,4.95,304.37,0,464.37,,430.5,1022.5,138.37,1984,33.1,,,12.5,13,-524,246.97,0,,2,25.46,-2.5,3.63,255.11,285.17,282.67,0,,30652,33215,1012,2014,,,-521,0,,3680,5157
2021-06-01T08:00:00+00:00,2022-02-04T16:49:58.284222+00:00,2022-05-24T21:16:04.920097+00:00,1622534400,GB,237.23,157.13,254.17,252.57,69.6,29791.5,0,161.5,3025.15,536,32442.15,bmreports.com,41.73,36.05,45.05,36.72,5460,,2499,0,2643.5,5360,337,13290.5,0,201.5,7208.89,0,2523.33,3.37,2700.79,5695.88,599.14,13274.14,4.75,266.41,0,165.45,,161.5,1023,137.39,1988,35.11,,,12.15,13,-536,237.26,0,,2,25.45,-2.37,3.58,317.32,285.68,282.86,0.01,,32279,34075,1012,2014,,,-530,0,,5324,5076
2021-06-01T09:00:00+00:00,2022-02-04T16:49:58.101622+00:00,2022-05-24T21:19:44.429092+00:00,1622538000,GB,227.63,149.74,243.42,252.57,67.33,30525.5,0,118,3025.09,536,33132.59,bmreports.com,39.9,38.43,43.01,39.16,5461.5,,2312,0,2430,6875,265.5,13029.5,0,152,7180.77,0,2339.12,3.48,2494.42,7255.25,515.02,13009.86,4.7,212.88,0,117.08,,118,1023,128.63,1988,36,,,11.09,13,-536,227.64,1,320.13,2,25.46,-2.41,3.49,379.04,286.16,283.07,0.01,,33706,34458,1012,2014,,,-530,0,,6694,5162
