LocationId,Property,Value
2448401,house_type,house_detached
2448401,persons,4
2448401,bedrooms,3
2448401,heating_type_primary,heat_pump
2448401,hotwater_type,hot_water_tank_with_an_electric_immersion_heater
2448401,gas_stoves,0
2448401,gas_ovens,0
2448401,electric_stoves,1
2448401,electric_ovens,1
2448401,dishwashers,1
2448401,microwaves,1
2448401,washing_machines,1
2448401,dryers,1
2448401,tv,1
2448401,game_consoles,0
2448401,laptops,2
2448401,fridges,1
2448401,freezers,1
2448401,fridge_freezers,0
