LocationID,Date,TotalWh,cooking,fridge_freezer,washing,other,always_on,lightning,consumer_electronics,heating,water_heating
2448401,2021-01-01,3629600,132060,73412,97264,1017179,40980,117929,51318,1708850,390608
2448401,2021-02-01,3322100,129464,66365,96263,1186493,37046,95268,51601,1306488,353112
2448401,2021-03-01,1926300,112844,73433,81422,106802,40992,66696,41474,1088601,314036
2448401,2021-04-01,1712000,50489,71079,31717,64021,39678,18143,12371,1046308,378194
2448401,2021-05-01,1195900,47098,73497,28931,103396,41028,13730,10768,588852,288600
2448401,2021-06-01,669500,52226,71099,33059,106988,39689,14114,13107,19195,320023
2448401,2021-07-01,338800,21025,73264,10556,56640,40898,5123,2457,,128837
2448401,2021-08-01,632600,65101,84482,42858,21047,51721,29192,18402,,319797
2448401,2021-09-01,763500,75775,71048,51622,60316,39661,46588,23689,22563,372238
2448401,2021-10-01,1182300,95452,73404,67211,178034,40976,75791,32786,228084,390562
2448401,2021-11-01,1759700,127424,70915,93836,146429,39587,109642,49496,745047,377324
2448401,2021-12-01,2464300,135744,73485,100296,713162,41021,117148,53202,839244,390998
2448401,2022-01-01,2061300,144635,73413,107672,127143,40981,130594,57834,1073986,305042
2448401,2022-02-01,1984700,146490,66295,110404,373663,37007,109406,60508,728189,352738
2448401,2022-03-01,1763000,151158,73430,113061,149463,40990,92859,61199,690136,390704
2448401,2022-04-01,1191400,91656,83355,64448,38062,51567,36960,31357,468052,325943
2448401,2022-05-01,825600,78844,73712,53740,59465,41148,25538,24684,100699,367770
